"name","city","review_count","elite_reviews","avg_rating"
"McDonald's","Reno","942","143","1.62"
"Bonefish Grill","Tampa","445","142","3.68"
"Taco Bus","Tampa","501","141","2.91"
"MOD Pizza","Tucson","430","139","4.07"
"Sparkman Wharf","Tampa","243","139","4.11"
"Theo's Neighborhood Pizza","New Orleans","411","138","3.79"
"Cactus Club Cafe","Edmonton","352","134","3.98"
"Indianapolis Motor Speedway","Indianapolis","222","134","4.37"
"Philly Pretzel Factory","Philadelphia","281","134","3.74"
"Wildwood Market","Indianapolis","189","134","4.71"
"Cracker Barrel Old Country Store","Nashville","490","133","2.99"
"Caffeine Roasters","Tampa","353","132","4.29"
"TGI Fridays","Indianapolis","382","132","2.44"
"Hooters","Tampa","515","131","2.69"
"India Garden Restaurant","Indianapolis","323","131","3.90"
"Tim Hortons","Edmonton","286","131","2.80"
"Fat Dan's Deli","Indianapolis","218","129","4.04"
"QuikTrip","Tucson","272","129","4.05"
"Slapfish","Indianapolis","226","129","4.68"
"Dottie's Donuts","Philadelphia","310","128","4.39"
"Popeyes Louisiana Kitchen","New Orleans","391","128","2.54"
"The Northside Social","Indianapolis","248","128","4.21"
"Panera Bread","Nashville","519","127","2.28"
"Upland Carmel Tap House","Carmel","256","127","3.81"
"Urban Chestnut Brewing Company","Saint Louis","254","127","4.26"
"LouVino","Indianapolis","241","126","4.32"
"Outback Steakhouse","Indianapolis","412","126","2.83"
"St. Louis Bubble Tea","Saint Louis","337","126","3.53"
"Anthony's Coal Fired Pizza","Tampa","483","125","3.83"
"Chris' Ice Cream","Indianapolis","249","125","4.71"
"Dunkin'","Philadelphia","466","125","2.39"
"Italian Centre Shop","Edmonton","236","125","4.46"
"McDonald's","Nashville","876","125","1.67"
"Shake Shack","Philadelphia","296","125","3.54"
"The Green Line Cafe","Philadelphia","334","125","3.37"
"Culver's","Tucson","414","124","3.47"
"Famoso Neapolitan Pizzeria","Edmonton","276","124","3.89"
"Mango Mango Dessert","Philadelphia","239","124","4.13"
"Tampa Premium Outlets","Lutz","227","124","4.00"
"Foundation Grounds Coffeehouse & Cafe","Maplewood","268","123","4.10"
"Loco Mexican Restaurant & Cantina","Indianapolis","280","123","4.13"
"Starbucks","New Orleans","285","123","3.02"
"Auction House Market","New Orleans","251","122","4.34"
"Chilly Water Brewing Company","Indianapolis","234","122","3.87"
"Five Guys","Philadelphia","266","122","3.42"
"Keke's Breakfast Cafe","Tampa","525","122","4.10"
"honeygrow","Philadelphia","304","121","3.21"
"Olive Garden Italian Restaurant","Tucson","463","121","3.12"
"Subway","Tucson","397","121","2.97"
"Liter House","Indianapolis","207","120","4.23"
"Bovaconti Coffee","Indianapolis","202","119","4.63"
"M Kee","Philadelphia","241","119","3.97"
"United By Blue","Philadelphia","250","119","4.15"
"Buffalo Wild Wings","Tucson","549","118","2.29"
"CC's Coffee House","New Orleans","264","118","3.78"
"Heung Fa Chun Sweet House","Philadelphia","245","118","4.32"
"Nesso","Indianapolis","205","118","4.51"
"Hooters","Clearwater","401","117","2.87"
"HotBox Pizza","Indianapolis","301","116","3.21"
"IHOP","Tucson","551","116","2.37"
"Lee Lee International Supermarkets","Tucson","253","116","4.33"
"White Castle","Indianapolis","296","116","2.70"
"Wishbone","Philadelphia","395","116","3.40"
"Ballpark Village","St. Louis","317","114","3.24"
"Kaffeine Coffee","Indianapolis","213","114","4.57"
"Maloney's Local Irish Pub","Tampa","304","114","3.57"
"Noodles & Company","Indianapolis","245","114","3.04"
"The Halal Guys","Philadelphia","315","114","3.41"
"Three Carrots Fountain Square","Indianapolis","256","114","4.36"
"Tomo Japanese Steakhouse and Sushi Bar","Indianapolis","255","114","3.99"
"Carniceria Guanajuato","Indianapolis","276","113","4.30"
"Noshville Delicatessen","Nashville","368","113","2.41"
"Gus' Pretzels","Saint Louis","205","112","3.97"
"Henry's Coffee Bistro","Indianapolis","241","112","3.66"
"Lucky Wishbone","Tucson","331","112","3.48"
"Philadelphia Premium Outlets","Pottstown","209","112","3.83"
"Raley's","Reno","339","112","3.47"
"Culver's","Tampa","372","111","3.53"
"Las Palmas Mexican Restaurant","Nashville","439","111","3.05"
"Locust Rendezvous","Philadelphia","235","111","3.94"
"Napolese Pizzeria","Indianapolis","243","111","4.09"
"Rooster's Kitchen","Indianapolis","248","111","4.16"
"WingHouse Bar & Grill","Tampa","505","111","3.23"
"Buffalo Billiards","Philadelphia","243","110","3.51"
"Chipotle Mexican Grill","Nashville","581","110","2.30"
"Little Greek Restaurant","Tampa","373","110","3.85"
"Nine Irish Brothers - Indianapolis","Indianapolis","235","110","3.97"
"The Garage Food Hall","Indianapolis","149","110","4.59"
"Trainwreck Saloon","Saint Louis","325","110","3.09"
"Panda Express","Tucson","670","109","2.13"
"Saturday Morning Market","St. Petersburg","189","109","4.44"
"Upland Brewing Co Tasting Room","Indianapolis","183","109","4.13"
"Chick-fil-A","Tucson","403","108","3.36"
"Main Street Poké","Carmel","254","108","4.33"
"Saraga International Market","Indianapolis","172","108","4.16"
"Texas Roadhouse","Indianapolis","383","108","3.08"
"Starbucks","Philadelphia","267","107","3.16"
"BAMBU","Philadelphia","236","106","3.97"
"Chili's","Saint Louis","346","106","1.77"
"Empamamas","Tampa","207","106","4.18"
"New Orleans Hamburger & Seafood Co","New Orleans","356","106","3.38"
"Reginelli's Pizzeria","New Orleans","360","106","3.84"
"Caffé Buondí","Carmel","228","105","4.32"
"Irish 31","Tampa","358","105","3.94"
"Just Pop In! Gourmet Popcorn Shop & Cafe","Indianapolis","164","105","4.41"
"Taco Bell","Tucson","485","105","2.45"
"WINO  Wine Institute of New Orleans","New Orleans","241","105","4.24"
"1933 Lounge","Indianapolis","164","104","4.45"
"Ba Le Bakery","Philadelphia","245","104","3.60"
"Big Easy Daiquiris","New Orleans","193","104","3.64"
"Eddie Merlot's - Indianapolis","Indianapolis","250","104","3.99"
"Greek's Pizzeria","Indianapolis","275","104","3.79"
"Maialina","Indianapolis","220","104","4.45"
"Meridian Restaurant & Bar","Indianapolis","243","104","4.18"
"Smashburger","Tucson","293","104","3.10"
"Tavern at the Point","Indianapolis","211","104","4.24"
"The Pasta House","St. Louis","398","104","2.73"
"Hot Tin","New Orleans","230","103","4.09"
"La Piedad","Indianapolis","239","103","3.69"
"Moxie's Grill & Bar","Edmonton","235","103","3.22"
"Ocean City","Philadelphia","226","103","3.27"
"Piada Italian Street Food","Carmel","223","103","3.98"
"Wendy's","Indianapolis","441","103","1.81"
"Bisbee Breakfast Club","Tucson","360","102","3.86"
"Blue Plate Diner","Edmonton","245","102","3.35"
"Cafe Patachou","Carmel","225","102","4.19"
"Daredevil Hall","Indianapolis","189","102","4.04"
"Five Guys","Tucson","278","102","3.53"
"French Truck Coffee","New Orleans","305","102","4.30"
"Krystal","New Orleans","229","102","3.11"
"McDonald's","Philadelphia","789","102","1.53"
"Monon Coffee Company","Indianapolis","174","102","4.20"
"NI HAO TEA","Tucson","200","102","4.64"
"Philadelphia's 9th Street Italian Market","Philadelphia","166","102","4.43"
"Sky Cafe","Philadelphia","231","102","4.62"
"South Street Philly Bagels","Philadelphia","257","102","3.78"
"Tandoor & Tikka","Indianapolis","261","102","3.87"
"Cake Life Bake Shop","Philadelphia","254","101","4.22"
"Dough Nation","Tampa","228","101","4.39"
"Fox & Son Fair Foods","Philadelphia","205","101","4.26"
"Gallery Pastry Bar","Indianapolis","169","101","4.35"
"Honey Bakery","Reno","256","101","4.36"
"IHOP","TAMPA","375","101","2.65"
"Izakaya Japanese Bar & Grill","Indianapolis","242","101","4.02"
"Jimmy John's","Reno","379","101","3.21"
"Rusty's Pizza Parlor","Santa Barbara","567","101","3.02"
"American Eat Company","Tucson","247","100","4.01"
"Beer NV Taproom & Spirits","Reno","232","100","4.44"
"Blenders In The Grass","Santa Barbara","241","100","4.15"
"Fresh Kitchen","Tampa","256","100","4.34"
"Lulu's Coffee & Bakehouse","Indianapolis","221","100","4.36"
"The Original Turkey","Philadelphia","216","100","4.35"
"The Rusty Nail","New Orleans","212","100","4.30"
"Courtesy Diner","Saint Louis","321","99","3.45"
"Doughboys Donuts","Reno","262","99","4.21"
"Fu-Wah Mini Market","Philadelphia","257","99","4.46"
"Kuba ","St. Pete Beach","232","99","4.13"
"McDonald's","Edmonton","342","99","2.05"
"McDonald's","New Orleans","584","99","1.56"
"Port of Subs","Reno","430","99","3.22"
"Steak ’n Shake","Tampa","454","99","2.09"
"Subway","Indianapolis","296","99","2.51"
"Wyliepalooza Ice Cream Emporium","Indianapolis","225","99","4.49"
"Ambrosia","Indianapolis","238","98","4.15"
"Bazille","Tampa","211","98","4.31"
"El Taco Tote","Tucson","363","98","3.72"
"Freddy's Frozen Custard & Steakburgers","Tucson","302","98","3.25"
"Heidelberg Haus","Indianapolis","236","98","4.51"
"IHOP","Philadelphia","414","98","2.67"
"Panda Express","Indianapolis","224","98","2.74"
"Playground Bar & Lounge","Tucson","207","98","3.32"
"Starbucks","Indianapolis","197","98","3.68"
"The South Bend Chocolate Company","Indianapolis","178","98","3.60"
"The Trestle Inn","Philadelphia","208","98","3.81"
"Xi'an Sizzling Woks","Philadelphia","275","98","3.63"
"California Pizza Kitchen at International Plaza","Tampa","210","97","3.86"
"Chili's","Tucson","392","97","2.70"
"Dadeo","Edmonton","246","97","4.02"
"Independence Visitor Center","Philadelphia","142","97","4.37"
"McDonald's","St. Louis","812","97","1.47"
"Mister Softee","Runnemede","137","97","4.04"
"Old Nelson Food Company","Philadelphia","227","97","3.76"
"Publix","Tampa","212","97","3.50"
"Pythian Market","New Orleans","194","97","4.35"
"Scott & Co","Tucson","191","97","4.53"
"Shallos Antique Restaurant & Brewhouse","Indianapolis","257","97","3.88"
"Taco Bell","Reno","524","97","1.91"
"The Bishop's Collar","Philadelphia","254","97","3.68"
"Alice Pizza","Philadelphia","262","96","4.31"
"Anthony's Italian Coffee House and Chocolate House","Philadelphia","200","96","4.09"
"Bazbeaux Pizza","Carmel","216","96","3.91"
"Block 1912","Edmonton","186","96","3.55"
"Elliott's On Congress","Tucson","240","96","3.95"
"Leviathan Bakehouse","Indianapolis","159","96","4.73"
"M3 Restaurant","Reno","256","96","4.22"
"Round Table Pizza","Reno","528","96","2.10"
"The HC Tavern + Kitchen","Fishers","212","96","4.23"
"The Jazz Kitchen","Indianapolis","191","96","4.08"
"Au Bon Pain","Philadelphia","189","95","2.64"
"Burger Monger","Tampa","426","95","3.71"
"Capital One Café","Philadelphia","185","95","4.10"
"Cru Cellars - Palma Ceia","Tampa","198","95","4.15"
"Kamals Middle Eastern Specialties","Philadelphia","193","95","3.59"
"Picanha Brazilian Steakhouse","Philadelphia","336","95","3.72"
"Poke Loa","New Orleans","279","95","4.11"
"Steak ’n Shake","St. Louis","483","95","2.00"
"TailGate Brewery Music Row","Nashville","236","95","4.39"
"Cascades American Cafe","Nashville","244","94","2.95"
"CRAFT Beer Market","Edmonton","243","94","3.49"
"Culver's","Indianapolis","210","94","3.52"
"Dairy Queen","Tucson","328","94","2.76"
"First Watch","Brentwood","334","94","3.74"
"Kaldi's Coffee Roasting Company","Clayton","248","94","4.27"
"Missouri Baking Company","Saint Louis","230","94","4.38"
"Outback Steakhouse","Tucson","369","94","3.09"
"Smiths Restaurant and Bar","Philadelphia","235","94","3.30"
"The Daily Beet","New Orleans","313","94","4.57"
"Cracker Barrel Old Country Store","Tampa","244","93","3.30"
"Ezra's Enlightened Cafe","Indianapolis","211","93","4.66"
"Grand Hyatt Tampa Bay","Tampa","252","93","4.00"
"Jasmine Thai","Indianapolis","243","93","4.05"
"Mass Ave Pub","Indianapolis","164","93","3.82"
"New York New York Pizza","Tampa","343","93","3.44"
"Original Joe's Restaurant & Bar","Edmonton","232","93","3.63"
"Pei Wei Asian Kitchen","Tucson","304","93","2.82"
"Petra Cafe | Downtown","Indianapolis","216","93","4.22"
"Shalimar Indian Restaurant","Indianapolis","207","93","3.89"
"Walden's Coffeehouse","Reno","291","93","4.36"
"KC's Pastries","Philadelphia","186","92","3.92"
"King Wok","Indianapolis","199","92","4.33"
"Miller's Ale House","Tampa","388","92","3.55"
"Ruth's Chris Steak House","Indianapolis","234","92","4.03"
"Sky Asian Bistro","Philadelphia","217","92","3.24"
"Tijuana Flats","Fishers","222","92","4.00"
"Woody's Library Restaurant","Carmel","244","92","3.68"
"Ali'i Poke Indy","Indianapolis","228","91","4.79"
"Canyon Cafe","Saint Louis","260","91","3.51"
"IKEA Restaurant","St. Louis","226","91","3.39"
"Taste Restaurant At Lucky Lou Seafood and Dimsum","Indianapolis","228","91","4.00"
"TGI Fridays","Tampa","351","91","2.68"
"The Oakmont","Indianapolis","158","91","4.17"
"Tortilleria San Roman","Philadelphia","226","91","4.79"
"Writer's Block Rehab","Philadelphia","184","91","4.15"
"Andy's Chicken","Philadelphia","341","90","4.32"
"Capriotti's Sandwich Shop","Reno","273","90","3.50"
"Corner Bakery","Philadelphia","211","90","3.08"
"Cracker Barrel Old Country Store","Indianapolis","231","90","3.29"
"First Watch","Clearwater","317","90","4.18"
"Illinois Street Food Emporium","Indianapolis","145","90","4.16"
"Lolis Mexican Cravings","Tampa","370","90","4.24"
"Old City Coffee","Philadelphia","241","90","3.96"
"Red Lobster","Indianapolis","265","90","3.14"
"Thai Cafe Restaurant","Indianapolis","213","90","3.79"
"Tio Flores","Philadelphia","254","90","3.41"
"Chiang Mai Thai Noodle","Indianapolis","192","89","4.08"
"Desi Chaat House","Philadelphia","247","89","3.76"
"Glory Days Grill","Tampa","390","89","3.51"
"Kanella Grill","Philadelphia","249","89","4.03"
"La Patisserie Chouquette","Saint Louis","238","89","4.22"
"Magpies Gourmet Pizza","Tucson","398","89","3.11"
"Mandarin House Restaurant","University City","196","89","3.60"
"Manhattan Bagel","Philadelphia","205","89","3.05"
"Moar Tea & Poke","Indianapolis","182","89","4.60"
"Popeyes Louisiana Kitchen","Philadelphia","386","89","2.10"
"QDOBA Mexican Eats","Reno","292","89","2.93"
"Sangiovese Ristorante","Indianapolis","213","89","4.26"
"Tian Fu Asian Bistro","Indianapolis","235","89","3.80"
"Ye Olde College Inn","New Orleans","242","89","4.18"
"Calypso Cafe","Nashville","254","88","3.64"
"Flying Pie Pizzaria","Boise","472","88","3.68"
"Harry & Izzy's","Indianapolis","216","88","3.84"
"Just Judy's","Indianapolis","227","88","4.41"
"Taxman CityWay","Indianapolis","180","88","3.93"
"Trident Grill II","Tucson","256","88","3.82"
"Blaze Pizza","Carmel","239","87","3.85"
"Chop Steakhouse & Bar","Edmonton","230","87","3.76"
"Cucina Zapata","Philadelphia","251","87","4.61"
"District Donuts Sliders & Brew Lakeview","New Orleans","201","87","3.93"
"Pho NOLA","Metairie","247","87","4.04"
"Sauce on the Side","St. Louis","239","87","4.47"
"Seoul Fried Chicken","Edmonton","211","87","4.02"
"Taqueria Corona","New Orleans","216","87","3.44"
"Tea's Me Cafe","Indianapolis","183","87","4.68"
"Village Inn Restaurant","Tampa","280","87","3.51"
"Wings & Rice","Tucson","239","87","4.16"
"Balcony Bar & Cafe","New Orleans","197","86","3.18"
"Blaze Pizza","Indianapolis","222","86","3.98"
"Brewsters Brewing Company & Restaurant","Edmonton","160","86","3.52"
"Cafe Du Monde","Kenner","186","86","4.08"
"Chipotle Mexican Grill","Reno","303","86","2.80"
"Ha Long Bay","Tucson","255","86","4.26"
"Hotcakes Emporium Pancake House & Restaurant","Indianapolis","247","86","3.76"
"Little Thai Market","Philadelphia","195","86","4.01"
"LongHorn Steakhouse","Tampa","324","86","3.58"
"MacDinton's Soho","Tampa","211","86","2.88"
"Some Guys Pizza Pasta Grill","Indianapolis","219","86","4.23"
"West End Grill & Pub","Saint Louis","216","86","3.96"
"Whole Foods Market","Metairie","204","86","3.94"
"Yats","Carmel","220","86","4.53"
"101 Beer Kitchen","Fishers","223","85","4.24"
"Blaze Pizza","Edmonton","196","85","4.27"
"Cavanaugh's Rittenhouse","Philadelphia","232","85","3.58"
"Chicken Salad Chick","Tampa","250","85","4.40"
"European Republic","Philadelphia","246","85","4.10"
"Haru","Reno","216","85","4.21"
"L&L Hawaiian Barbecue","Reno","363","85","3.06"
"Louis Pappas Fresh Greek","Tampa","294","85","3.60"
"Luciana's Mexican Restaurant and Cantina","Indianapolis","220","85","3.68"
"Mike's BBQ","Philadelphia","256","85","4.66"
"Miller's Ale House","Philadelphia","400","85","3.21"
"Pho Tasty","Indianapolis","226","85","4.01"
"Red Lobster","Tucson","311","85","3.09"
"Square on Square","Philadelphia","257","85","3.51"
"Sundae's Ice Cream & Coffee","Indianapolis","231","85","4.77"
"Taco Bell","Tampa","475","85","1.98"
"The Organic Banana","New Orleans","193","85","4.16"
"Tlaolli","Indianapolis","212","85","4.79"
"Tsaocaa & BBQ Chicken","Philadelphia","167","85","3.71"
"Yujo","Indianapolis","186","85","4.31"
"Bar Italia Ristorante","St Louis","244","84","3.62"
"Cafe Passe","Tucson","242","84","3.82"
"Dave & Buster's","Indianapolis","230","84","2.60"
"Five Guys","Tampa","244","84","3.50"
"Panera Bread","Tucson","243","84","2.63"
"Peddler's Village","Lahaska","182","84","3.98"
"Popeyes Louisiana Kitchen","Tucson","422","84","2.17"
"Profi's Crêperie","Philadelphia","159","84","3.87"
"Royal Boucherie","Philadelphia","235","84","4.11"
"Starbucks","Nashville","263","84","2.97"
"Tacos Don Memo","Philadelphia","214","84","4.53"
"Tartes Pastry Shop","Philadelphia","189","84","4.08"
"Tir na nOg Irish Pub","Philadelphia","251","84","3.27"
"Yummy Yummy","Philadelphia","148","84","4.02"
"Allegro Pizza","Philadelphia","227","83","3.02"
"Alpha Brewing Company","Saint Louis","169","83","4.33"
"Chuy's","Carmel","186","83","3.89"
"Dao's Tai Pan's","Tucson","251","83","3.61"
"Dewey's Pizza","University City","247","83","4.28"
"Federal Donuts","Philadelphia","176","83","4.16"
"Lee How Fook","Philadelphia","238","83","3.79"
"Lumière Place Casino Hotel","St. Louis","205","83","2.39"
"Nolé","New Orleans","249","83","3.93"
"Panda King","Gretna","188","83","3.60"
"Piccola Gelateria","New Orleans","239","83","4.73"
"Pies & Pints","Carmel","170","83","4.21"
"Stone Creek Zionsville","Zionsville","216","83","4.05"
"The Neidhammer Coffee Co.","Indianapolis","163","83","4.67"
"World of Beer","Indianapolis","151","83","3.37"
"Yoko's","Tampa","253","83","4.10"
"Amber Indian Restaurant","Carmel","252","82","4.12"
"Bishop's Meat and Three","Franklin","261","82","4.03"
"Capriotti's Sandwich Shop","Indianapolis","225","82","4.13"
"Cheddar's Scratch Kitchen","Indianapolis","244","82","3.54"
"Cracker Barrel Old Country Store","Mount Laurel","211","82","3.37"
"Ember Urban Eatery","Indianapolis","211","82","4.09"
"Hard Rock Cafe","Tampa","224","82","3.18"
"Living Room Coffee & Kitchen","Maplewood","247","82","4.39"
"MacKenzie River Pizza, Grill & Pub","Indianapolis","205","82","3.67"
"Perla","Philadelphia","219","82","4.58"
"QDOBA Mexican Eats","Philadelphia","203","82","3.18"
"Seorabol Center City","Philadelphia","224","82","4.25"
"Shake Shack","Metairie","213","82","3.40"
"Spread Bagelry","Philadelphia","294","82","2.74"
"St. Stephen's Green","Philadelphia","235","82","3.36"
"The Post Sports Bar & Grill - Maplewood","Maplewood","255","82","3.69"
"Urban Village Brewing Co","Philadelphia","231","82","4.18"
"What The Pho","Indianapolis","229","82","4.25"
"3 in 1 Restaurant","Indianapolis","195","81","4.83"
"Abyssinia Ethiopian Restaurant","Indianapolis","170","81","4.40"
"Baan Thai","Philadelphia","239","81","4.18"
"Blenders In the Grass","Isla Vista","193","81","4.32"
"Bongo East + GamePoint","Nashville","180","81","3.89"
"Cafe Hey","Tampa","228","81","4.07"
"Cafe Napoli","Clayton","246","81","3.85"
"Chili's","Reno","360","81","3.14"
"City Barbeque","Carmel","238","81","3.90"
"Denny's","Tucson","538","81","2.57"
"Gogi Korean Restaurant","Metairie","236","81","4.14"
"Harmony Poke & Bubble Tea","Indianapolis","190","81","4.40"
"Hoagies & Hops","Indianapolis","193","81","4.38"
"Jimmy John's","Tucson","302","81","3.57"
"Larry's Steaks","Philadelphia","290","81","2.91"
"Mama's Famous Pizza & Heros","Tucson","430","81","3.01"
"My Favorite Muffin","Reno","251","81","3.96"
"Nine Lives Cat Cafe","Indianapolis","147","81","4.42"
"Oishii Poké","Philadelphia","233","81","4.14"
"Rostizado - by Tres Carnales","Edmonton","195","81","4.06"
"Sauce on the Side","Carmel","191","81","4.34"
"Shiroi Hana","Philadelphia","222","81","3.86"
"Shish Kebab House of Tucson","Tucson","263","81","4.06"
"South Street Souvlaki","Philadelphia","227","81","3.99"
"Taqueria Emanuel","Tampa","250","81","4.34"
"Ted's Montana Grill - Traders Point","Indianapolis","218","81","3.78"
"Twelve Mile Limit","New Orleans","157","81","4.26"
"Waffle House","Tampa","260","81","3.57"
"Winkel","Philadelphia","255","81","4.56"
"Bando Korean Restaurant","Indianapolis","206","80","3.91"
"bāo•logy","Philadelphia","192","80","4.08"
"Bar Louie - Carmel","Carmel","194","80","3.64"
"Bee Coffee Roasters","Indianapolis","147","80","4.40"
"Caffe Torino","Tucson","437","80","3.76"
"Charlie's Hamburgers","Folsom","255","80","4.17"
"Crazy Bowls & Wraps","Saint Louis","237","80","3.43"
"Dae Bak","Philadelphia","221","80","3.90"
"Ho Ho Choy","Tampa","220","80","3.50"
"Kung Fu Noodle","Tucson","238","80","4.20"
"Pad Thai Restaurant","Carmel","219","80","4.05"
"Pizza Perfect - Hillsboro Village","Nashville","230","80","3.92"
"Protzel's Delicatessen","Saint Louis","180","80","4.38"
"Rocky & Carlo's Restaurant & Bar","Chalmette","237","80","4.02"
"Saigon Cafe","Saint Louis","196","80","3.99"
"Stone Creek Dining Company - Plainfield","Plainfield","233","80","3.94"
"Taqueria Guerrero","New Orleans","254","80","4.21"
"The Crow's Nest","Saint Louis","255","80","3.93"
"Tower Grove Park","Saint Louis","115","80","4.57"
"Triton Brewing Company","Indianapolis","155","80","4.01"
"Wendy's","Philadelphia","482","80","1.80"
"3 Crow Bar","East Nashville","230","79","3.27"
"Bastion","Nashville","215","79","4.49"
"BJ's Restaurant & Brewhouse","Avon","227","79","3.62"
"BRU Burger Bar - Plainfield","Plainfield","239","79","3.95"
"Bully's Sports Bar & Grill","Sparks","363","79","2.53"
"Burgerhaus","Carmel","179","79","4.05"
"Cajé Coffee Roasters - Haley St","Santa Barbara","243","79","4.68"
"Carrabba's Italian Grill","Tampa","270","79","3.54"
"Clarkville","Philadelphia","241","79","3.69"
"Di Bruno Bros.","Philadelphia","172","79","3.62"
"Fat Tuesday","Philadelphia","199","79","2.44"
"Gojo Ethiopian","Nashville","229","79","4.25"
"I Dream of Weenie","Nashville","217","79","4.30"
"Jade Harbor","Philadelphia","286","79","3.09"
"Juicy Seafood Indy","Indianapolis","249","79","3.69"
"LemonGrass","Saint Louis","212","79","3.50"
"Leonardo's Mexican Food","Indianapolis","205","79","3.74"
"Panera Bread","Philadelphia","234","79","2.72"
"Pho Hoan Pasteur","Edmonton","204","79","4.02"
"Pickles Deli","Saint Louis","230","79","4.15"
"Ray's Café & Teahouse","Philadelphia","194","79","4.42"
"Riviera Maya Mexican Restaurant","Indianapolis","236","79","3.52"
"Tacos Apson","Tucson","299","79","4.24"
"Arizona Inn","Tucson","254","78","3.97"
"Backyard Bowls","Goleta","238","78","4.23"
"Barracuda","New Orleans","198","78","4.44"
"Cajun Seafood","New Orleans","217","78","3.97"
"Daredevil Brewing","Speedway","138","78","4.33"
"Fitzwater Cafe","Philadelphia","250","78","4.14"
"Hooters","Indianapolis","271","78","2.25"
"Jack Duggan's Pub","Philadelphia","200","78","2.52"
"Jet Rock Bar & Grill","Philadelphia","246","78","2.24"
"Jimboy's Tacos","Reno","282","78","3.01"
"Jimmy's Pita & Poke","Tucson","366","78","4.33"
"Kona Jacks Fish Market & Sushi Bar","Indianapolis","207","78","3.72"
"McNally's Tavern","Philadelphia","247","78","4.36"
"Mona's Cafe","New Orleans","232","78","4.00"
"Pass-A-Grille Beach","Pass-a-Grille Beach","154","78","4.71"
"PDQ South Dale","Tampa","210","78","3.70"
"Pete & Shorty's Tavern","Clearwater","257","78","3.75"
"Red Robin Gourmet Burgers and Brews","Carmel","212","78","2.90"
"Robert's Restaurant","Tucson","233","78","4.33"
"Southwark Restaurant","Philadelphia","235","78","4.17"
"The Victoria Freehouse","Philadelphia","233","78","3.80"
"Tru Burger","New Orleans","248","78","3.46"
"U-City Grill","St Louis","205","78","4.07"
"Zukku Sushi - Tampa","Tampa","159","78","4.02"
"BEAST Butcher & Block","St. Louis","230","77","4.55"
"China Pasta House","Tucson","237","77","3.88"
"Companion Ladue Cafe","Saint Louis","173","77","3.83"
"Custard & Cakes Creamery","Philadelphia","227","77","4.63"
"H Mart - Upper Darby","Upper Darby","167","77","3.86"
"Hilton Garden Inn Philadelphia Center City","Philadelphia","241","77","2.94"
"In-N-Out Burger","Goleta","230","77","3.96"
"Ishkabibble's","Philadelphia","192","77","3.56"
"Jimmy John's","Tampa","280","77","2.88"
